0,AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,HVAC
1,AIRFLOWNETWORK:DISTRIBUTION:COMPONENT:COIL,HVAC
2,AIRFLOWNETWORK:DISTRIBUTION:COMPONENT:CONSTANTPRESSUREDROP,HVAC
3,AIRFLOWNETWORK:DISTRIBUTION:COMPONENT:CONSTANTVOLUMEFAN,HVAC
4,AIRFLOWNETWORK:DISTRIBUTION:COMPONENT:DUCT,HVAC
5,AIRFLOWNETWORK:DISTRIBUTION:COMPONENT:HEATEXCHANGER,HVAC
6,AIRFLOWNETWORK:DISTRIBUTION:COMPONENT:LEAK,HVAC
7,AIRFLOWNETWORK:DISTRIBUTION:COMPONENT:LEAKAGERATIO,HVAC
8,AIRFLOWNETWORK:DISTRIBUTION:COMPONENT:TERMINALUNIT,HVAC
9,AIRFLOWNETWORK:DISTRIBUTION:LINKAGE,HVAC
10,AIRFLOWNETWORK:DISTRIBUTION:NODE,HVAC
11,AIRFLOWNETWORK:MULTIZONE:COMPONENT:DETAILEDOPENING,HVAC
12,AIRFLOWNETWORK:MULTIZONE:COMPONENT:HORIZONTALOPENING,HVAC
13,AIRFLOWNETWORK:MULTIZONE:COMPONENT:SIMPLEOPENING,HVAC
14,AIRFLOWNETWORK:MULTIZONE:COMPONENT:ZONEEXHAUSTFAN,HVAC
15,AIRFLOWNETWORK:MULTIZONE:EXTERNALNODE,HVAC
16,AIRFLOWNETWORK:MULTIZONE:REFERENCECRACKCONDITIONS,HVAC
17,AIRFLOWNETWORK:MULTIZONE:SURFACE,HVAC
18,AIRFLOWNETWORK:MULTIZONE:SURFACE:CRACK,HVAC
19,AIRFLOWNETWORK:MULTIZONE:SURFACE:EFFECTIVELEAKAGEAREA,HVAC
20,AIRFLOWNETWORK:MULTIZONE:WINDPRESSURECOEFFICIENTARRAY,HVAC
21,AIRFLOWNETWORK:MULTIZONE:WINDPRESSURECOEFFICIENTVALUES,HVAC
22,AIRFLOWNETWORK:MULTIZONE:ZONE,HVAC
23,AIRFLOWNETWORK:SIMULATIONCONTROL,HVAC
24,AIRLOOPHVAC,HVAC
25,AIRLOOPHVAC:CONTROLLERLIST,HVAC
26,AIRLOOPHVAC:OUTDOORAIRSYSTEM,HVAC
27,AIRLOOPHVAC:OUTDOORAIRSYSTEM:EQUIPMENTLIST,HVAC
28,AIRLOOPHVAC:RETURNPATH,HVAC
29,AIRLOOPHVAC:RETURNPLENUM,HVAC
30,AIRLOOPHVAC:SUPPLYPATH,HVAC
31,AIRLOOPHVAC:SUPPLYPLENUM,HVAC
32,AIRLOOPHVAC:UNITARY:FURNACE:HEATCOOL,HVAC
33,AIRLOOPHVAC:UNITARY:FURNACE:HEATONLY,HVAC
34,AIRLOOPHVAC:UNITARYHEATCOOL,HVAC
35,AIRLOOPHVAC:UNITARYHEATCOOL:VAVCHANGEOVERBYPASS,HVAC
36,AIRLOOPHVAC:UNITARYHEATONLY,HVAC
37,AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR,HVAC
38,AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,HVAC
39,AIRLOOPHVAC:UNITARYHEATPUMP:WATERTOAIR,HVAC
40,AIRLOOPHVAC:ZONEMIXER,HVAC
41,AIRLOOPHVAC:ZONESPLITTER,HVAC
42,AIRTERMINAL:DUALDUCT:CONSTANTVOLUME,HVAC
43,AIRTERMINAL:DUALDUCT:VAV,HVAC
44,AIRTERMINAL:DUALDUCT:VAV:OUTDOORAIR,HVAC
