Date_Time,Durchfluss ,T Rucklauf ,T Vorlauf ,Warmefluss 
30/01/13 10:18,33.60521775,33.60521775,40.40521775,14.00521775
30/01/13 10:19,30.68493685,31.48493685,37.08493685,8.484936852
30/01/13 10:20,31.98919989,33.98919989,38.48919989,7.689199893
30/01/13 10:21,38.05500419,40.45500419,43.95500419,11.55500419
30/01/13 10:22,26.72470545,29.32470545,31.92470545,-1.575294549
30/01/13 10:23,33.84748833,36.44748833,38.44748833,4.047488333
30/01/13 10:24,27.4602312,30.3602312,31.7602312,-3.639768801
30/01/13 10:25,43.89799067,46.89799067,48.19799067,12.39799067
30/01/13 10:26,33.35599713,36.15599713,38.65599713,4.45599713
30/01/13 10:27,33.08951263,35.78951263,40.38951263,9.089512635
30/01/13 10:28,37.26453284,39.66453284,46.46453284,18.56453284
30/01/13 10:29,40.14821401,40.84821401,49.64821401,25.54821401
30/01/13 10:30,34.9217066,34.7217066,44.2217066,21.9217066
30/01/13 10:31,34.39607002,33.89607002,43.09607002,20.39607002
30/01/13 10:32,35.00199687,34.40199687,42.70199687,18.70199687
30/01/13 10:33,45.03336505,44.83336505,52.03336505,26.03336505
30/01/13 10:34,37.82087209,38.02087209,43.92087209,15.82087209
30/01/13 10:35,39.47786825,40.47786825,45.27786825,15.27786825
30/01/13 10:36,32.21469889,34.41469889,38.21469889,6.414698889
30/01/13 10:37,36.83132055,39.23132055,42.13132055,9.03132055
30/01/13 10:38,37.77810556,40.37810556,42.57810556,8.37810556
30/01/13 10:39,39.94994546,42.54994546,44.14994546,8.949945459
30/01/13 10:40,38.19606558,40.99606558,42.19606558,6.196065582
30/01/13 10:41,31.9965517,35.0965517,36.7965517,1.3965517
30/01/13 10:42,34.05049872,37.25049872,40.75049872,7.850498715
30/01/13 10:43,35.8813425,38.9813425,44.7813425,15.0813425
30/01/13 10:44,36.15893128,37.65893128,45.65893128,19.85893128
30/01/13 10:45,37.04903758,37.24903758,46.54903758,23.44903758
30/01/13 10:46,35.1789894,34.9789894,44.3789894,21.5789894
30/01/13 10:47,39.05652002,38.55652002,47.25652002,23.65652002
30/01/13 10:48,38.62165637,38.22165637,45.92165637,20.72165637
30/01/13 10:49,36.54826742,36.64826742,43.04826742,15.74826742
30/01/13 10:50,36.40825195,37.10825195,42.40825195,13.00825195
30/01/13 10:51,32.61473905,34.21473905,38.51473905,7.414739052
30/01/13 10:52,32.45155786,35.05155786,38.35155786,5.651557861
30/01/13 10:53,38.30038671,41.00038671,43.50038671,9.400386711
30/01/13 10:54,33.58904156,36.58904156,38.38904156,3.189041556
30/01/13 10:55,24.65229667,27.75229667,29.05229667,-6.847703334
30/01/13 10:56,35.4443982,38.7443982,39.8443982,3.444398204
30/01/13 10:57,33.76775819,37.06775819,39.06775819,3.767758191
